match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner,Player_1,Player_2,Pl_1_hand,Pl_2_hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best_of,Final_TB?,Charted_by,High_Leverage,focal_is_p1,Focal_Player,Opponent_Player,Point_Won,Next_Point_Won,Focal_Ranking,Opponent_Ranking,Ranking_Diff
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,18,0,0,1,1,40-40,3.0,True,1,6n,5b38s2f3s3b3y1n@,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,19,0,0,1,1,40-AD,3.0,True,1,6w,5d,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,20,0,0,1,2,0-0,4.0,True,2,6b1n#,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,21,0,0,1,2,15-0,4.0,True,2,6r28f2f1f3b3s3s3b2f1n#,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,22,0,0,1,2,30-0,4.0,True,2,4d,5f38b1f1r3y-1f-1v#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,23,0,0,1,2,40-0,4.0,True,2,4b2d#,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,24,0,0,1,3,0-0,5.0,True,1,4f28b1r3s1d@,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,25,0,0,1,3,0-15,5.0,True,1,6f29f3b2f3*,,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,26,0,0,1,3,15-15,5.0,True,1,4f39*,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,27,0,0,1,3,15-30,5.0,True,1,4n,4b38b3b3b2f1f1n#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,28,0,0,1,3,15-40,5.0,True,1,6b18*,,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,29,0,0,1,4,0-0,6.0,True,2,6w,4d,,1,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,0,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,30,0,0,1,4,0-15,6.0,True,2,4x,4b29f2b3f3b1f2b3b3s2f3*,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,1,18,2,16
20230904-W-US_Open-R16-Ons_Jabeur-Qinwen_Zheng,31,0,0,1,4,15-15,6.0,True,2,4n,4r#,,2,Ons Jabeur,Qinwen Zheng,R,R,2023-09-04,US Open,R16,,Louis Armstrong Stadium,Hard,,3,1,Isaac,1,False,Qinwen Zheng,Ons Jabeur,1,0,18,2,16
